Car_Name,Age,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
ritz,5,3.35,27000,Petrol,Dealer,Manual
sx4,6,4.75,43000,Diesel,Dealer,Manual
ciaz,2,7.25,6900,Petrol,Dealer,Manual
wagon r,8,2.85,5200,Petrol,Dealer,Manual
swift,5,4.6,42450,Diesel,Dealer,Manual
vitara brezza,1,9.25,2071,Diesel,Dealer,Manual
ciaz,4,6.75,18796,Petrol,Dealer,Manual
s cross,4,6.5,33429,Diesel,Dealer,Manual
ciaz,3,8.75,20273,Diesel,Dealer,Manual
ciaz,4,7.45,42367,Diesel,Dealer,Manual
alto 800,2,2.85,2135,Petrol,Dealer,Manual
ciaz,4,6.85,51000,Diesel,Dealer,Manual
ciaz,4,7.5,15000,Petrol,Dealer,Automatic
ertiga,4,6.1,26000,Petrol,Dealer,Manual
dzire,10,2.25,77427,Petrol,Dealer,Manual
ertiga,3,7.75,43000,Diesel,Dealer,Manual
ertiga,4,7.25,41678,Diesel,Dealer,Manual
ertiga,3,7.75,43000,Diesel,Dealer,Manual
wagon r,4,3.25,35500,CNG,Dealer,Manual
sx4,9,2.65,41442,Petrol,Dealer,Manual
alto k10,3,2.85,25000,Petrol,Dealer,Manual
ignis,2,4.9,2400,Petrol,Dealer,Manual
sx4,8,4.4,50000,Petrol,Dealer,Automatic
alto k10,5,2.5,45280,Petrol,Dealer,Manual
wagon r,6,2.9,56879,Petrol,Dealer,Manual
swift,8,3,20000,Petrol,Dealer,Manual
swift,6,4.15,55138,Petrol,Dealer,Manual
swift,2,6,16200,Petrol,Individual,Manual
alto k10,9,1.95,44542,Petrol,Dealer,Manual
ciaz,4,7.45,45000,Diesel,Dealer,Manual
ritz,7,3.1,51439,Diesel,Dealer,Manual
ritz,8,2.35,54200,Petrol,Dealer,Manual
swift,5,4.95,39000,Diesel,Dealer,Manual
ertiga,5,6,45000,Diesel,Dealer,Manual
dzire,5,5.5,45000,Diesel,Dealer,Manual
sx4,8,2.95,49998,CNG,Dealer,Manual
dzire,4,4.65,48767,Petrol,Dealer,Manual
800,16,0.35,127000,Petrol,Individual,Manual
alto k10,3,3,10079,Petrol,Dealer,Manual
sx4,16,2.25,62000,Petrol,Dealer,Manual
baleno,3,5.85,24524,Petrol,Dealer,Automatic
alto k10,5,2.55,46706,Petrol,Dealer,Manual
sx4,11,1.95,58000,Petrol,Dealer,Manual
dzire,5,5.5,45780,Diesel,Dealer,Manual
omni,7,1.25,50000,Petrol,Dealer,Manual
ciaz,5,7.5,15000,Petrol,Dealer,Automatic
ritz,6,2.65,64532,Petrol,Dealer,Manual
wagon r,13,1.05,65000,Petrol,Dealer,Manual
ertiga,4,5.8,25870,Petrol,Dealer,Manual
ciaz,2,7.75,37000,Petrol,Dealer,Automatic
fortuner,7,14.9,104707,Diesel,Dealer,Automatic
fortuner,4,23,40000,Diesel,Dealer,Automatic
innova,2,18,15000,Diesel,Dealer,Automatic
fortuner,6,16,135000,Diesel,Individual,Automatic
innova,14,2.75,90000,Petrol,Individual,Manual
corolla altis,10,3.6,70000,Petrol,Dealer,Automatic
etios cross,4,4.5,40534,Petrol,Dealer,Manual
corolla altis,9,4.75,50000,Petrol,Dealer,Manual
etios g,5,4.1,39485,Petrol,Dealer,Manual
fortuner,5,19.99,41000,Diesel,Dealer,Automatic
corolla altis,6,6.95,40001,Petrol,Dealer,Manual
etios cross,4,4.5,40588,Petrol,Dealer,Manual
fortuner,5,18.75,78000,Diesel,Dealer,Automatic
fortuner,4,23.5,47000,Diesel,Dealer,Automatic
